step 0: train loss 4.2966, val loss 4.2990
iter 409: loss 2.4202, time 27327.44ms, mfu 0.02%
iter 410: loss 2.3822, time 29701.81ms, mfu 0.02%
iter 411: loss 2.4273, time 29121.72ms, mfu 0.02%
iter 412: loss 2.4113, time 29115.61ms, mfu 0.02%
iter 413: loss 2.3985, time 28994.07ms, mfu 0.02%
iter 414: loss 2.3950, time 29073.71ms, mfu 0.02%
iter 415: loss 2.4747, time 29158.67ms, mfu 0.02%
iter 416: loss 2.4329, time 28640.86ms, mfu 0.02%
iter 417: loss 2.3861, time 29041.25ms, mfu 0.02%
iter 418: loss 2.4208, time 29155.24ms, mfu 0.02%
iter 419: loss 2.4310, time 28841.41ms, mfu 0.02%
iter 420: loss 2.3758, time 28435.88ms, mfu 0.02%
iter 421: loss 2.4025, time 28267.40ms, mfu 0.02%
iter 422: loss 2.4102, time 28150.86ms, mfu 0.02%
iter 423: loss 2.3926, time 28084.31ms, mfu 0.02%
iter 424: loss 2.4085, time 28339.79ms, mfu 0.02%
iter 425: loss 2.4305, time 27865.66ms, mfu 0.02%
iter 426: loss 2.3845, time 27629.81ms, mfu 0.02%
iter 427: loss 2.3775, time 28031.97ms, mfu 0.02%
iter 428: loss 2.4294, time 27894.31ms, mfu 0.02%
iter 429: loss 2.4093, time 28192.15ms, mfu 0.02%
iter 430: loss 2.3548, time 27584.14ms, mfu 0.02%
iter 431: loss 2.3728, time 29779.85ms, mfu 0.02%
iter 432: loss 2.3536, time 28859.34ms, mfu 0.02%
iter 433: loss 2.4434, time 28747.44ms, mfu 0.02%
iter 434: loss 2.3737, time 28484.85ms, mfu 0.02%
iter 435: loss 2.3532, time 28408.70ms, mfu 0.02%
iter 436: loss 2.3821, time 28541.75ms, mfu 0.02%
iter 437: loss 2.3526, time 28698.98ms, mfu 0.02%
iter 438: loss 2.4189, time 28261.22ms, mfu 0.02%
iter 439: loss 2.3885, time 28361.30ms, mfu 0.02%
iter 440: loss 2.3907, time 28045.62ms, mfu 0.02%
iter 441: loss 2.3849, time 27995.60ms, mfu 0.02%
iter 442: loss 2.3978, time 28366.26ms, mfu 0.02%
iter 443: loss 2.3566, time 29134.59ms, mfu 0.02%
iter 444: loss 2.4010, time 28594.61ms, mfu 0.02%
iter 445: loss 2.3617, time 29173.69ms, mfu 0.02%
iter 446: loss 2.3703, time 28564.98ms, mfu 0.02%
